key,priority,created,status,versions
IGNITE-15388,Blocker,2021-08-27 12:27:03+00:00,Resolved,2.11
IGNITE-15387,Critical,2021-08-27 11:22:00+00:00,Resolved,2.9.1
IGNITE-15386,Major,2021-08-27 11:19:24+00:00,Resolved,2.9.1
IGNITE-15385,Major,2021-08-27 10:53:54+00:00,Open,
IGNITE-15384,Major,2021-08-27 09:46:08+00:00,Resolved,
IGNITE-15378,Major,2021-08-26 13:00:08+00:00,Resolved,
IGNITE-15376,Major,2021-08-26 10:03:26+00:00,Resolved,
IGNITE-15367,Minor,2021-08-24 12:47:03+00:00,Resolved,2.10 2.11
IGNITE-15364,Major,2021-08-23 19:18:27+00:00,Patch Available,
IGNITE-15362,Blocker,2021-08-23 10:25:23+00:00,Resolved,
IGNITE-15360,Minor,2021-08-23 07:27:04+00:00,Resolved,
IGNITE-15358,Blocker,2021-08-22 15:02:43+00:00,Resolved,
IGNITE-15353,Major,2021-08-20 15:54:31+00:00,Open,
IGNITE-15351,Major,2021-08-20 12:24:05+00:00,Resolved,3.0.0-alpha2
IGNITE-15347,Major,2021-08-20 05:17:40+00:00,Open,
IGNITE-15346,Major,2021-08-19 18:09:07+00:00,Resolved,
IGNITE-15345,Major,2021-08-19 17:23:21+00:00,Resolved,
IGNITE-15343,Critical,2021-08-19 15:31:13+00:00,Open,
IGNITE-15339,Critical,2021-08-19 12:25:34+00:00,Resolved,
IGNITE-15338,Major,2021-08-19 11:48:51+00:00,Resolved,
IGNITE-15337,Major,2021-08-19 11:08:30+00:00,Open,
IGNITE-15334,Major,2021-08-18 14:22:21+00:00,Open,2.9.1
IGNITE-15332,Major,2021-08-18 11:59:31+00:00,Resolved,
IGNITE-15331,Minor,2021-08-17 16:03:05+00:00,Resolved,
IGNITE-15322,Minor,2021-08-17 07:43:31+00:00,Open,
IGNITE-15321,Major,2021-08-17 02:22:57+00:00,Open,2.10
IGNITE-15318,Major,2021-08-16 13:17:29+00:00,Open,2.10
IGNITE-15317,Critical,2021-08-16 10:13:59+00:00,Closed,2.10
