key,priority,created,status,versions
SPARK-36757,Major,2021-09-14 20:29:34+00:00,Resolved,3.1.1
SPARK-36756,Minor,2021-09-14 15:14:37+00:00,Open,3.0.0 3.0.1 3.0.2 3.0.3 3.1.0 3.1.1 3.1.2 3.2.0 3.0.4
SPARK-36749,Major,2021-09-14 03:17:29+00:00,Open,2.1.3
SPARK-36740,Major,2021-09-13 12:28:22+00:00,Resolved,3.2.0
SPARK-36738,Minor,2021-09-13 09:24:54+00:00,Resolved,3.1.2
SPARK-36734,Major,2021-09-13 03:56:48+00:00,Resolved,3.1.2
SPARK-36733,Major,2021-09-13 03:11:04+00:00,Resolved,3.1.2
SPARK-36732,Major,2021-09-13 02:47:46+00:00,Resolved,3.2.0
SPARK-36728,Major,2021-09-12 11:00:45+00:00,Open,3.3.0
SPARK-36726,Blocker,2021-09-12 07:27:29+00:00,Resolved,3.2.0
SPARK-36725,Minor,2021-09-11 19:17:15+00:00,Resolved,3.0.3 3.1.2 3.2.0
SPARK-36722,Major,2021-09-11 10:39:21+00:00,Resolved,3.2.0 3.3.0
SPARK-36720,Major,2021-09-10 14:59:24+00:00,Open,3.1.1
SPARK-36717,Minor,2021-09-10 12:05:48+00:00,Resolved,3.1.2
SPARK-36715,Major,2021-09-10 08:43:07+00:00,Resolved,3.1.2
SPARK-36706,Major,2021-09-10 03:51:43+00:00,Resolved,3.1.2
SPARK-36704,Major,2021-09-09 16:37:46+00:00,Resolved,3.2.0
SPARK-36701,Major,2021-09-09 05:52:02+00:00,Open,2.4.5
SPARK-36700,Blocker,2021-09-09 02:28:45+00:00,Resolved,3.0.3 3.1.2 3.2.0 3.3.0
SPARK-36696,Blocker,2021-09-08 18:50:41+00:00,Resolved,3.2.0
SPARK-36694,Minor,2021-09-08 11:38:57+00:00,Reopened,2.4.8
SPARK-36686,Major,2021-09-07 18:31:29+00:00,Resolved,3.1.2
SPARK-36684,Minor,2021-09-07 15:11:48+00:00,Resolved,3.2.0 3.3.0
SPARK-36681,Major,2021-09-07 07:41:57+00:00,Open,3.2.0
SPARK-36677,Major,2021-09-06 16:45:54+00:00,Resolved,3.2.0 3.3.0
SPARK-36673,Major,2021-09-06 08:47:30+00:00,Resolved,3.1.1 3.2.0
SPARK-36672,Major,2021-09-06 05:50:26+00:00,Resolved,3.1.0
SPARK-36669,Blocker,2021-09-04 21:45:59+00:00,Resolved,3.2.0
SPARK-36668,Major,2021-09-04 16:37:30+00:00,Resolved,2.4.5
SPARK-36667,Major,2021-09-04 03:14:13+00:00,Resolved,3.2.0
SPARK-36651,Major,2021-09-02 07:08:18+00:00,Resolved,2.4.5
SPARK-36639,Major,2021-09-01 12:17:45+00:00,Resolved,3.0.3 3.1.2
SPARK-36635,Major,2021-09-01 08:17:31+00:00,Resolved,3.1.0 3.1.2
SPARK-36627,Minor,2021-08-31 17:05:49+00:00,In Progress,3.0.3
SPARK-36619,Blocker,2021-08-31 02:46:39+00:00,Resolved,3.2.0
SPARK-36616,Major,2021-08-30 18:12:53+00:00,Resolved,3.1.1
SPARK-36605,Minor,2021-08-28 08:15:36+00:00,Resolved,3.2.0
SPARK-36604,Major,2021-08-28 07:39:42+00:00,In Progress,3.1.1 3.1.2
SPARK-36603,Minor,2021-08-28 01:09:59+00:00,Resolved,3.1.2
SPARK-36601,Major,2021-08-26 13:43:28+00:00,Resolved,3.1.2
SPARK-36599,Major,2021-08-26 10:12:54+00:00,In Progress,3.1.2
SPARK-36598,Minor,2021-08-26 07:51:57+00:00,In Progress,3.3.0
SPARK-36594,Major,2021-08-26 03:55:32+00:00,Resolved,3.2.0 3.3.0
SPARK-36592,Major,2021-08-25 22:09:31+00:00,Resolved,3.1.0
SPARK-36591,Major,2021-08-25 21:51:18+00:00,Closed,3.0.1
SPARK-36590,Major,2021-08-25 16:19:49+00:00,Resolved,3.2.0
SPARK-36585,Major,2021-08-25 12:24:18+00:00,Resolved,3.2.0
SPARK-36582,Major,2021-08-25 07:21:35+00:00,In Progress,2.4.8 3.1.2
SPARK-36581,Minor,2021-08-25 05:18:51+00:00,Resolved,3.2.0
SPARK-36577,Major,2021-08-24 20:09:32+00:00,Open,2.4.8 3.0.0 3.0.1 3.0.2 3.0.3 3.1.0 3.1.1 3.1.2
SPARK-36575,Major,2021-08-24 12:46:56+00:00,In Progress,2.3.3
SPARK-36574,Major,2021-08-24 10:24:28+00:00,Resolved,3.2.0
SPARK-36572,Major,2021-08-24 09:10:41+00:00,Resolved,2.4.7 2.4.8
SPARK-36568,Major,2021-08-23 23:19:38+00:00,Resolved,3.2.0
SPARK-36565,Minor,2021-08-23 17:58:43+00:00,Resolved,2.4.0 3.1.2
SPARK-36564,Major,2021-08-23 13:10:47+00:00,Resolved,3.0.3 3.1.2 3.2.0 3.3.0
SPARK-36554,Minor,2021-08-22 02:29:13+00:00,In Progress,3.1.1
SPARK-36553,Major,2021-08-20 11:49:47+00:00,Open,3.1.1
SPARK-36552,Major,2021-08-20 09:47:41+00:00,Resolved,2.3.1 3.1.1 3.1.2
SPARK-36551,Major,2021-08-20 09:22:30+00:00,Resolved,3.2.0
SPARK-36548,Major,2021-08-19 20:43:44+00:00,Closed,3.1.1
