key,priority,created,status,versions
KAFKA-13153,Major,2021-07-31 07:15:38+00:00,Resolved,
KAFKA-13149,Major,2021-07-29 03:37:36+00:00,Resolved,
KAFKA-13148,Major,2021-07-28 18:54:46+00:00,Resolved,
KAFKA-13147,Major,2021-07-28 17:11:42+00:00,Open,2.8.0
KAFKA-13143,Blocker,2021-07-27 20:37:58+00:00,Resolved,
KAFKA-13141,Blocker,2021-07-27 18:57:25+00:00,Resolved,2.8.0 2.7.1
KAFKA-13140,Major,2021-07-27 15:00:50+00:00,Patch Available,2.8.0 3.0.0
KAFKA-13139,Blocker,2021-07-26 19:58:12+00:00,Resolved,3.0.0
KAFKA-13138,Minor,2021-07-26 17:39:21+00:00,Open,
KAFKA-13137,Blocker,2021-07-26 17:29:38+00:00,Resolved,2.8.0
KAFKA-13136,Major,2021-07-26 09:33:55+00:00,Open,
KAFKA-13132,Blocker,2021-07-25 03:59:50+00:00,Resolved,
KAFKA-13131,Major,2021-07-23 15:50:19+00:00,Open,2.6.0
KAFKA-13129,Blocker,2021-07-23 02:10:32+00:00,Resolved,
KAFKA-13128,Blocker,2021-07-23 01:27:24+00:00,Reopened,2.8.1 3.0.0
KAFKA-13127,Blocker,2021-07-23 00:37:12+00:00,Resolved,
KAFKA-13126,Major,2021-07-22 22:22:25+00:00,Resolved,
KAFKA-13122,Major,2021-07-22 07:07:36+00:00,Resolved,
KAFKA-13121,Major,2021-07-21 20:28:13+00:00,Open,
KAFKA-13119,Blocker,2021-07-21 17:43:02+00:00,Resolved,
KAFKA-13115,Major,2021-07-21 11:14:18+00:00,Open,
KAFKA-13112,Blocker,2021-07-21 02:06:00+00:00,Resolved,
KAFKA-13109,Major,2021-07-20 15:42:49+00:00,Open,2.8.0
KAFKA-13107,Major,2021-07-20 11:01:03+00:00,Open,
KAFKA-13106,Major,2021-07-20 10:00:50+00:00,Resolved,2.3.1 2.7.0
KAFKA-13104,Blocker,2021-07-19 17:21:44+00:00,Resolved,
KAFKA-13102,Major,2021-07-18 03:08:35+00:00,Resolved,
KAFKA-13100,Blocker,2021-07-17 18:36:15+00:00,Resolved,
KAFKA-13099,Major,2021-07-16 18:21:53+00:00,Resolved,2.0.1 2.1.1 2.2.2 2.3.1 2.4.1 2.5.1 2.6.1 2.8.0 2.7.1
KAFKA-13098,Blocker,2021-07-16 18:14:09+00:00,Resolved,3.0.0
KAFKA-13096,Blocker,2021-07-16 01:25:25+00:00,Resolved,2.8.0
KAFKA-13095,Blocker,2021-07-15 17:54:38+00:00,Resolved,3.0.0
KAFKA-13094,Major,2021-07-15 13:28:32+00:00,Open,2.8.0
KAFKA-13092,Critical,2021-07-15 01:53:31+00:00,Resolved,
KAFKA-13091,Major,2021-07-15 00:21:35+00:00,Resolved,
KAFKA-13086,Major,2021-07-14 11:10:26+00:00,Open,2.6.0
KAFKA-13085,Major,2021-07-14 09:34:59+00:00,Open,
KAFKA-13084,Major,2021-07-14 09:29:43+00:00,Resolved,
KAFKA-13083,Major,2021-07-14 07:05:38+00:00,Open,
KAFKA-13081,Blocker,2021-07-14 01:50:53+00:00,Resolved,
KAFKA-13080,Blocker,2021-07-13 21:03:59+00:00,Resolved,
KAFKA-13079,Major,2021-07-13 20:27:52+00:00,Resolved,3.1.0
KAFKA-13078,Blocker,2021-07-13 17:58:10+00:00,Resolved,3.0.0
KAFKA-13077,Minor,2021-07-13 15:04:07+00:00,Open,2.8.0
KAFKA-13076,Blocker,2021-07-13 07:33:09+00:00,Open,2.7.0
KAFKA-13074,Major,2021-07-13 03:50:10+00:00,Open,
KAFKA-13073,Major,2021-07-13 03:30:22+00:00,Resolved,3.0.0
KAFKA-13070,Major,2021-07-12 22:26:00+00:00,Resolved,
KAFKA-13069,Critical,2021-07-12 21:59:27+00:00,Resolved,2.8.0 3.0.0
